word,meaning,children,parent,related,images,reference
ภารตี,[-ระ-] น. ชื่อหนึ่งของพระสุรัสวดี.,,,,,
ภารยทรัพย์,"[พาระยะซับ]  (กฎ) น. อสังหาริมทรัพย์ที่ตกอยู่ในภาระจำยอม, คู่กับ สามยทรัพย์.",,,,,
ภารยา,"[พาระ-, พานระ-] น. ภรรยา. (ส.).",,,,,
"ภาระ ๒, ภารา ๑",น. ชื่อมาตราชั่งนํ้าหนักมคธ ๒๐ ตุลา เป็น ๑ ภาระ. (ส. ภาร).,,,,,
ภารา ๒,"(โบ) น. พารา, เมือง.",,,,,
"ภาว-, ภาวะ","[พาวะ-] น. ความมี, ความเป็น, ความปรากฏ, เช่น ภาวะน้ำท่วม ภาวะเศรษฐกิจตกต่ำ. (ป., ส.).","ภาวศุทธิ, ภาวะฉุกเฉิน",,,,
"ภาว-, ภาวะ","[พาวะ-] น. ความมี, ความเป็น, ความปรากฏ, เช่น ภาวะน้ำท่วม ภาวะเศรษฐกิจตกต่ำ. (ป., ส.).","ภาวศุทธิ, ภาวะฉุกเฉิน",,,,
ภาวศุทธิ,[พาวะสุดทิ] น. ความบริสุทธิ์แห่งใจ. (ส.).,,"ภาว-, ภาวะ",,,
ภาวะฉุกเฉิน,น. ภาวะอันอาจเป็นภัยต่อความมั่นคงหรือความปลอดภัยแห่งราชอาณาจักร หรืออันอาจทำให้ประเทศตกอยู่ในภาวะคับขันหรือภาวการณ์รบหรือการสงคราม.,,"ภาว-, ภาวะ",,,
ภาวนา,"(๑)  [พาวะ-] น. การทำให้มีขึ้นให้เป็นขึ้นทางจิตใจ. (ป.). (๒)  [พาวะ-] ก. สำรวมใจให้แน่วแน่เป็นสมาธิ เช่น สวดมนต์ภาวนา, สำรวมใจตั้งความปรารถนา เช่น นั่งภาวนาขอให้พระช่วย. (ป.).",ภาวนามัย,,,,
ภาวนามัย,"ว. สำเร็จด้วยภาวนา, แล้วไปด้วยภาวนา, เป็นธรรมข้อ ๑ ในบุญกิริยาวัตถุ. (ป.).",,ภาวนา,,,
ภาษ,"[พาด] ก. พูด, กล่าว, บอก. (ส.; ป. ภาส).",,,,,
ภาษก,[พาสก] น. ผู้พูด. (ส.).,,,,,
ภาษณ์,น. การพูด. (ส.).,,,,,
ภาษา,"(๑) น. ถ้อยคำที่ใช้พูดหรือเขียนเพื่อสื่อความของชนกลุ่มใดกลุ่มหนึ่ง เช่น ภาษาไทย ภาษาจีน หรือเพื่อสื่อความเฉพาะวงการ เช่น ภาษาราชการ ภาษากฎหมาย ภาษาธรรม (๒) น. เสียง ตัวหนังสือ หรือกิริยาอาการที่สื่อความได้ เช่น ภาษาพูด ภาษาเขียน ภาษาท่าทาง ภาษามือ (๓)  (โบ) น. คนหรือชาติที่พูดภาษานั้น ๆ เช่น มอญ ลาว ทะวาย นุ่งห่มและแต่งตัวตามภาษา (พงศ. ร. ๓) (๔)  (คอม) กลุ่มของชุดอักขระ สัญนิยม และกฎเกณฑ์ที่กำหนดขึ้นเพื่อสั่งงานคอมพิวเตอร์ เช่น ภาษาซี ภาษาจาวา (๕) น. โดยปริยายหมายความว่า สาระ, เรื่องราว, เนื้อความที่เข้าใจกัน, เช่น ตกใจจนพูดไม่เป็นภาษา เขียนไม่เป็นภาษา ทำงานไม่เป็นภาษา.","ภาษากึ่งแบบแผน, ภาษาคำควบมากพยางค์, ภาษาคำติดต่อ, ภาษาคำโดด, ภาษาถิ่น, ภาษาธรรม, ภาษาปาก, ภาษามีวิภัตติปัจจัย, ภาษาระดับทางการ, ภาษาระดับพิธีการ, ภาษาราชการ, ภาษาศาสตร์, ภาษาแบบแผน",,,,
ภาษากึ่งแบบแผน,น. ภาษาราชการ.,,ภาษา,,,
ภาษาคำควบมากพยางค์,น. ภาษาแบบที่มีการสร้างคำด้วยการประกอบหน่วยคำหลาย ๆ หน่วยเข้าเป็นคำเดียวกัน ทำให้คำหนึ่ง ๆ มีความยาวหลายพยางค์ เช่น ภาษาเวลส์ ภาษาเอสกิโม ภาษาอินเดียนแดง. (อ. polysynthetic language).,,ภาษา,,,
ภาษาคำโดด,น. ภาษาแบบที่ใช้คำที่มีลักษณะโดด ๆ คือ ไม่มีการเปลี่ยนแปลงรูปไปตามหน้าที่หรือตามความสัมพันธ์ทางไวยากรณ์เกี่ยวเนื่องกับคำอื่น คำในภาษาคำโดดมักจะมีพยางค์เดียวเป็นส่วนมาก แต่ก็มีคำสองพยางค์และหลายพยางค์ด้วย เช่น ภาษาไทย ภาษาจีน ภาษาเวียดนาม. (อ. isolating language).,,ภาษา,,,
ภาษาคำติดต่อ,น. ภาษาแบบที่มีการสร้างคำด้วยการเติมอุปสรรค อาคม หรือปัจจัย ซึ่งเป็นหน่วยคำไม่อิสระและไม่มีความหมาย ผสานเข้ากับคำบางคำซึ่งเป็นคำตั้ง ทำให้เกิดเป็นคำใหม่ แต่จะมีรูปและความหมายเกี่ยวเนื่องกับคำตั้งนั้น เช่น ภาษาเขมร ภาษาญี่ปุ่น ภาษาตุรกี ภาษาฮังการี. (อ. agglutinative language).,,ภาษา,,,
ภาษาถิ่น,น. ภาษาเฉพาะของท้องถิ่นใดท้องถิ่นหนึ่งที่มีรูปลักษณะเฉพาะตัวทั้งถ้อยคำและสำเนียงเป็นต้น.,,ภาษา,,,
ภาษาธรรม,น. ภาษาที่ใช้มีความหมายในทางธรรม ต่างกับความหมายที่ชาวบ้านใช้ เช่น คำว่า เวทนา ในภาษาธรรมหมายถึง การเสวยอารมณ์ที่เป็นสุข เป็นทุกข์ หรือเฉย ๆ แต่ชาวบ้านใช้หมายถึง สงสารสลดใจ หรือคำว่า สงสาร ในภาษาธรรมหมายถึง การเวียนว่ายตายเกิด แต่ชาวบ้านใช้หมายถึง รู้สึกเห็นใจในความเดือดร้อนหรือความทุกข์ของผู้อื่น.,,ภาษา,,,
ภาษาแบบแผน,"น. ภาษาที่ถือเป็นแบบฉบับที่จะต้องใช้เป็นแบบเดียวกันในโอกาสอย่างเดียวกัน เช่น คำกราบบังคมทูลพระบาทสมเด็จพระเจ้าอยู่หัว ขึ้นต้นว่า “ขอเดชะฝ่าละอองธุลีพระบาทปกเกล้าปกกระหม่อม...” และลงท้ายว่า “ควรมิควรแล้วแต่จะทรงพระกรุณาโปรดเกล้าโปรดกระหม่อม ขอเดชะ ข้าพระพุทธเจ้า...”, ภาษาที่ใช้เป็นทางการในโอกาสสำคัญ หรือใช้แก่บุคคลสำคัญ หรือบุคคลสำคัญเป็นผู้ใช้ เช่น คำประกาศเกียรติคุณในการประสาทปริญญาบัตรกิตติมศักดิ์ คำปราศรัยของนายกรัฐมนตรีในวันขึ้นปีใหม่, ภาษาระดับพิธีการ ก็เรียก.",,ภาษา,,,
ภาษาปาก,น. ภาษาพูดที่แสดงความคุ้นเคย ไม่เหมาะที่จะใช้เป็นพิธีรีตอง เช่น ตาแป๊ะ ตะบี้ตะบัน เทน้ำเทท่า.,,ภาษา,,,
ภาษามีวิภัตติปัจจัย,น. ภาษาแบบที่มีการสร้างคำด้วยการใช้วิภัตติปัจจัยประกอบเข้ากับรากศัพท์ซึ่งเป็นหน่วยคำไม่อิสระทำให้เกิดเป็นคำที่แสดงเพศ พจน์ กาล มาลา วาจกอย่างชัดเจน เพื่อเข้าสัมพันธ์ทางไวยากรณ์กลมกลืนกับคำอื่นในประโยค เช่น ภาษาบาลี ภาษาสันสกฤต ภาษากรีกโบราณ ภาษาละติน ภาษาฝรั่งเศส. (อ. inflectional language).,,ภาษา,,,
ภาษาระดับทางการ,น. ภาษาราชการ.,,ภาษา,,,
ภาษาระดับพิธีการ,น. ภาษาแบบแผน.,,ภาษา,,,
ภาษาราชการ,"(๑) น. ภาษาที่ใช้สื่อสารในราชการและวิชาการเป็นต้น เช่น จดหมายติดต่อราชการ รายงานการประชุมของหน่วยงาน รายงานการวิจัย รายงานวิชาการสาขาต่าง ๆ, ภาษาระดับทางการ หรือ ภาษากึ่งแบบแผน ก็เรียก (๒) น. ภาษาที่รัฐบาลประกาศให้ใช้เป็นทางราชการ เช่น ประเทศไทยใช้ภาษาไทยเป็นภาษาราชการ ประเทศสิงคโปร์ใช้ภาษาอังกฤษ ภาษาจีน ภาษาฮินดี และภาษามาเลย์ เป็นภาษาราชการ.",,ภาษา,,,
ภาษาศาสตร์,น. วิชาที่ศึกษาภาษาในแง่ต่าง ๆ เช่น เสียง โครงสร้าง ความหมาย โดยอาศัยวิธีการวิทยาศาสตร์ เช่น มีการตั้งสมมุติฐาน เก็บและวิเคราะห์ข้อมูลแล้วสรุปผล.,,ภาษา,,,
ภาษิต,น. ถ้อยคำหรือข้อความที่กล่าวสืบต่อกันมาช้านานแล้ว มีความหมายเป็นคติ เช่น กงเกวียนกำเกวียน. (ส.).,,,,,
ภาษี,(๑)  (กฎ) น. เงินที่มีกฎหมายกำหนดให้รัฐหรือท้องถิ่นเรียกเก็บจากบุคคลในเหตุต่าง ๆ เช่น การมีรายได้ การมีทรัพย์สิน การประกอบกิจการ การบริโภค เพื่อใช้จ่ายในการบริหารประเทศหรือท้องถิ่น เช่น ภาษีเงินได้ ภาษีบำรุงท้องที่ ภาษีโรงเรือนและที่ดิน ภาษีมูลค่าเพิ่ม (๒) น. ความได้เปรียบ เช่น เขามีภาษีกว่า.,"ภาษีบำรุงท้องที่, ภาษีปากเรือ, ภาษีมูลค่าเพิ่ม, ภาษีสรรพสามิต, ภาษีเงินได้, ภาษีโรงเรือนและที่ดิน",,,,
ภาษีเงินได้,น. ภาษีที่เรียกเก็บจากบุคคลที่ได้รับเงิน ทรัพย์สินหรือประโยชน์อย่างอื่น ซึ่งอาจคิดคำนวณได้เป็นเงิน.,,ภาษี,,,
ภาษีบำรุงท้องที่,(กฎ) น. ภาษีที่กฎหมายกำหนดให้องค์กรปกครองส่วนท้องถิ่นจัดเก็บจากผู้มีกรรมสิทธิ์ในที่ดิน หรือผู้ครอบครองที่ดินที่ไม่ใช่ของเอกชน โดยคำนวณตามจำนวนเนื้อที่ดินที่มีหรือครอบครองตามราคาปานกลางที่ทางราชการประกาศกำหนด.,,ภาษี,,,
ภาษีปากเรือ,(โบ; เลิก) **ดู ค่าปากเรือ** .,,ภาษี,ค่าปากเรือ,,
ภาษีมูลค่าเพิ่ม,(กฎ) น. ภาษีที่เรียกเก็บจากบุคคลที่ซื้อสินค้าหรือรับบริการ. (อ. value-added tax).,,ภาษี,,,
ภาษีโรงเรือนและที่ดิน,(กฎ) น. ภาษีที่เรียกเก็บจากเจ้าของที่ดิน โรงเรือนหรือสิ่งปลูกสร้างอย่างอื่นปีละครั้งตามค่ารายปีของทรัพย์สินนั้น เว้นแต่เจ้าของอยู่เองหรือให้ผู้แทนเฝ้ารักษาโดยมิได้ใช้เป็นที่เก็บสินค้าหรือประกอบการอุตสาหกรรม.,,ภาษี,,,
ภาษีสรรพสามิต,"[-สับพะ-, -สันพะ-]  (กฎ) น. ภาษีที่กรมสรรพสามิตเรียกเก็บจากสินค้าที่ผลิตหรือนำเข้าและการให้บริการในทางธุรกิจตามที่กฎหมายกำหนด เช่น ภาษีรถยนต์ ภาษีสุรา. (อ. excise tax).",,ภาษี,,,
"ภาส, ภาส-","[พาด, พาดสะ-, พาสะ-] น. แสง, สว่าง, แจ้ง. (ป., ส.).","ภาสกร, ภาสวร",,,,
"ภาส, ภาส-","[พาด, พาดสะ-, พาสะ-] น. แสง, สว่าง, แจ้ง. (ป., ส.).","ภาสกร, ภาสวร",,,,
ภาสกร,[พาดสะกอน] น. พระอาทิตย์.,,"ภาส, ภาส-",,,
ภาสวร,"[พาสะวอน] ว. สว่าง, มีแสงพราว. (ส.).",,"ภาส, ภาส-",,,
ภาสน์,น. การพูด. (ป.).,,,,,
ภาสา,น. ภาษา. (ป.).,,,,,
ภาสุระ,"ว. สว่าง, มีแสงพราวเช่นแก้ว. (ส.).",,,,,
ภิกขา,(๑) น. การขออาหาร (ป.; ส. ภิกฺษา). (๒) น. อาหารที่ขอมา. (ป.; ส. ภิกฺษา).,"ภิกขาจาร, ภิกขาหาร",,,,
ภิกขาจาร,"น. การเที่ยวขอ, การเที่ยวขออาหาร. (ป.).",,ภิกขา,,,
ภิกขาหาร,น. อาหารที่ได้มาด้วยการขอ. (ป.).,,ภิกขา,,,
ภิกขุ,น. ภิกษุ. (ป.; ส. ภิกฺษุ).,,,,,
ภิกขุนี,น. ภิกษุณี. (ป.; ส. ภิกฺษุณี).,,,,,
ภิกษา,(๑) น. การขออาหาร (ส.; ป. ภิกฺขา). (๒) น. อาหารที่ขอมา. (ส.; ป. ภิกฺขา).,"ภิกษาจาร, ภิกษาหาร",,,,
ภิกษาจาร,"น. การเที่ยวขอ, การเที่ยวขออาหาร. (ส.; ป. ภิกฺขาจาร).",,ภิกษา,,,
ภิกษาหาร,น. อาหารที่ได้มาด้วยการขอ. (ส.; ป. ภิกฺขาหาร).,,ภิกษา,,,
ภิกษุ,น. ชายที่บวชเป็นพระในพระพุทธศาสนา. (ส.; ป. ภิกฺขุ).,,,,,
ภิกษุณี,น. หญิงที่บวชเป็นพระในพระพุทธศาสนา. (ส.; ป. ภิกฺขุนี).,,,,,
ภิงคาร,"น. หม้อนํ้า, เต้านํ้า. (ป.; ส. ภฺฤงฺคาร).",,,,,
ภิงสนะ,"ว. น่ากลัว, น่าหวาดเสียว. (ป.; ส. ภีษฺณ).",,,,,
"ภิงสระ, ภิงสะ","น. เหง้า, เหง้าบัว. (ป. ภิส; ส. พิส).",,,,,
"ภิงสระ, ภิงสะ","น. เหง้า, เหง้าบัว. (ป. ภิส; ส. พิส).",,,,,
ภิญโญ,"ว. ยิ่ง, ยิ่งขึ้นไป. (ป. ภิยฺโย; ส. ภูย).",ภิญโญภาพ,,,,
ภิญโญภาพ,"น. ความยิ่ง, ความยิ่งขึ้นไป.",,ภิญโญ,,,
ภิตติ,"น. ฝาเรือน, กำแพง. (ป., ส.).",,,,,
"ภิทะ, ภินท-, ภินท์","[พินทะ-] ก. แตก, ทำลาย. (ป., ส.).",,,,,
"ภิทะ, ภินท-, ภินท์","[พินทะ-] ก. แตก, ทำลาย. (ป., ส.).",,,,,
"ภิทะ, ภินท-, ภินท์","[พินทะ-] ก. แตก, ทำลาย. (ป., ส.).",,,,,
ภิน-,"[พินนะ-] ว. แตกแล้ว, ทำลายแล้ว. (ป., ส. ภินฺน).","ภินชาติ, ภินวรรณ",,,,
ภินชาติ,"ว. ต่างชาติ, ต่างชาติชั้น. (ป., ส. ภินฺนชาติ).",,ภิน-,,,
ภินวรรณ,"(๑) ว. เปลี่ยนสี, จาง, ตก, ซีด, (ใช้แก่สี) (ส. ภินฺนวรฺณ). (๒) ว. ต่างพวก, ต่างวรรณะ. (ส. ภินฺนวรฺณ).",,ภิน-,,,
ภินทน-,"[พินทะนะ-] น. การแตก, การทำลาย. (ป.).",ภินทนาการ,,,,
ภินทนาการ,น. อาการแตก. (ป.).,,ภินทน-,,,
ภินทนาการ,น. **ดู ภินทน-** .,,,ภินทน-,,
ภิยโย,"ว. ภิญโญ, ยิ่ง, ยิ่งขึ้นไป. (ป.; ส. ภูย).",ภิยโยภาพ,,,,
ภิยโยภาพ,"น. ภิญโญภาพ, ความยิ่ง, ความยิ่งขึ้นไป.",,ภิยโย,,,
ภิรมย์,**ดู อภิรมย์** .,,,"อภิรมย์, อภิรมย์, อภิรมย์",,
ภิรมย์สุรางค์,(๑) น. ชื่อเพลงไทย อัตรา ๓ ชั้น (๒) น. ชื่อเพลงไทยประเภทเพลงเถา.,,,,,
ภิษัช,"น. หมอ, แพทย์. (ส. ภิษชฺ).",,,,,
ภิสะ,"น. เหง้า, เหง้าบัว. (ป.; ส. พิส).",,,,,
ภิสัก,"น. หมอ, แพทย์. (ป. ภิสกฺก; ส. ภิษชฺ).",,,,,
ภีตะ,"ก. กลัว. (ป., ส.).",,,,,
ภีมะ,"ว. น่ากลัว. (ป., ส.).",,,,,
"ภีรุ, ภีรุก-","(๑)  [พีรุกะ-] ว. กลัว, ขี้ขลาด. (ป., ส.). (๒)  [พีรุกะ-] น. ผู้หญิง เช่น ภีรุอวตาร ว่า อวตารเป็นผู้หญิง (แช่งนํ้า). (ป., ส.).",ภีรุกชาติ,,,,
"ภีรุ, ภีรุก-","(๑)  [พีรุกะ-] ว. กลัว, ขี้ขลาด. (ป., ส.). (๒)  [พีรุกะ-] น. ผู้หญิง เช่น ภีรุอวตาร ว่า อวตารเป็นผู้หญิง (แช่งนํ้า). (ป., ส.).",ภีรุกชาติ,,,,
ภีรุกชาติ,[พีรุกะชาด] ว. ขี้ขลาด. (ป.).,,"ภีรุ, ภีรุก-",,,
"ภุกต-, ภุกต์","[พุกตะ-] ว. ซึ่งกินแล้ว, ซึ่งครองแล้ว. (ส.; ป. ภุตฺต).","ภุกตาหาร, ภุกตเศษ",,,,
"ภุกต-, ภุกต์","[พุกตะ-] ว. ซึ่งกินแล้ว, ซึ่งครองแล้ว. (ส.; ป. ภุตฺต).","ภุกตาหาร, ภุกตเศษ",,,,
ภุกตเศษ,น. เดน. (ส.; ป. ภุตฺตเสส).,,"ภุกต์, ภุกต-",,,
ภุกตาหาร,(๑) น. อาหารที่กินแล้ว (ส.; ป. ภุตฺตาหาร). (๒) น. ผู้กินอาหารแล้ว. (ส.; ป. ภุตฺตาหาร).,,"ภุกต์, ภุกต-",,,
ภุกตาหาร,"น. **ดู ภุกต-, ภุกต์** .",,,"ภุกต-, ภุกต์",,
ภุขัน,น. อาวุธชนิดหนึ่ง.,,,,,
"ภุช ๑, ภุช-","(๑)  [พุด, พุชะ-] น. แขน (ป., ส.). (๒) น. งวงช้าง. (ป., ส.).","ภุชคะ, ภุชงค์, ภุชงคประยาต, ภุชงคมะ, ภุชสมโภค, ภุชา",,,,
"ภุช ๒, ภุชะ","[พุด, พุชะ] ก. กิน. (ป., ส.).",,,,,
"ภุช ๑, ภุช-","(๑)  [พุด, พุชะ-] น. แขน (ป., ส.). (๒) น. งวงช้าง. (ป., ส.).","ภุชคะ, ภุชงค์, ภุชงคประยาต, ภุชงคมะ, ภุชสมโภค, ภุชา",,,,
"ภุชคะ, ภุชงค์, ภุชงคมะ","[พุชะคะ, พุชง, พุชงคะมะ] น. งู, นาค. (ป., ส.).",,"ภุช ๑, ภุช-",,,
"ภุชคะ, ภุชงค์, ภุชงคมะ","น. **ดู ภุช ๑, ภุช-** .",,,"ภุช ๑, ภุช ๑, ภุช-, ภุช-",,
"ภุชคะ, ภุชงค์, ภุชงคมะ","[พุชะคะ, พุชง, พุชงคะมะ] น. งู, นาค. (ป., ส.).",,"ภุช ๑, ภุช-",,,
"ภุชคะ, ภุชงค์, ภุชงคมะ","น. **ดู ภุช ๑, ภุช-** .",,,"ภุช ๑, ภุช ๑, ภุช-, ภุช-",,
"ภุชคะ, ภุชงค์, ภุชงคมะ","[พุชะคะ, พุชง, พุชงคะมะ] น. งู, นาค. (ป., ส.).",,"ภุช ๑, ภุช-",,,
"ภุชคะ, ภุชงค์, ภุชงคมะ","น. **ดู ภุช ๑, ภุช-** .",,,"ภุช ๑, ภุช ๑, ภุช-, ภุช-",,
ภุชงคประยาต,[พุชงคะ-] น. ชื่อฉันท์แบบหนึ่งมี ๑๒ คำ แบ่งเป็น ๒ วรรค มีลหุต้นวรรคและกลางวรรค. (ส.; ป. ภุชงฺคปฺปยาต).,,"ภุช ๑, ภุช-",,,
ภุชงคประยาต,"น. **ดู ภุช ๑, ภุช-** .",,,"ภุช ๑, ภุช ๑, ภุช-, ภุช-",,
ภุชสมโภค,"[พุชะสมโพก] น. การสวมกอด, การกอดรัด. (ส.).",,"ภุช ๑, ภุช-",,,
ภุชา,น. แขน. (ส.).,,"ภุช ๑, ภุช-",,,
ภุชา,"น. **ดู ภุช ๑, ภุช-** .",,,"ภุช ๑, ภุช ๑, ภุช-, ภุช-",,
"ภุช ๒, ภุชะ","[พุด, พุชะ] ก. กิน. (ป., ส.).",,,,,
ภุญชะ,"ก. กิน, กินอาหาร. (ป.).",,,,,
ภุต,"[พุด] ว. ซึ่งกินแล้ว, ซึ่งครองแล้ว. (ป. ภุตฺต; ส. ภุกฺต).",,,,,
ภุม ๑,"[พุม] ว. ไม่ เช่น ภุมมาน ว่า ไม่มี, ภุมบาน ว่า ไม่ได้. (ข. พุ).",,,,,
"ภุม ๒, ภุม- ๑","(๑)  [พุม, พุมมะ-] น. ดาวอังคาร (ป. ภุมฺม; ส. เภาม). (๒) น. วันอังคาร. (ป. ภุมฺม; ส. เภาม).","ภุมมวาร, ภุมรัตน์, ภุมวาร",,,,
"ภุม ๒, ภุม- ๑","(๑)  [พุม, พุมมะ-] น. ดาวอังคาร (ป. ภุมฺม; ส. เภาม). (๒) น. วันอังคาร. (ป. ภุมฺม; ส. เภาม).","ภุมมวาร, ภุมรัตน์, ภุมวาร",,,,
ภุม- ๒,"[พุมมะ-] น. พื้นดิน, ภาคพื้น. (ป. ภุมฺม).",ภุมเทวดา,,,,
ภุมรัตน์,[พุมมะรัด] น. หินปะการัง. (ส. เภามรตฺน).,,"ภุม ๒, ภุม- ๑",,,
"ภุมวาร, ภุมมวาร",[พุมมะวาน] น. วันอังคาร. (ป. ภุมฺมวาร).,,"ภุม ๒, ภุม- ๑",,,
"ภุมวาร, ภุมมวาร",[พุมมะวาน] น. วันอังคาร. (ป. ภุมฺมวาร).,,"ภุม ๒, ภุม- ๑",,,
ภุมเทวดา,น. เทวดาพวกหนึ่งที่สิงสถิตอยู่บนพื้นดิน. (ป. ภุมฺม + เทวตา).,,ภุม- ๒,,,
ภุมมะ,(โหร) น. ชื่อยาม ๑ ใน ๘ ยามในเวลากลางวัน. **(ดู ยาม)** .,,,,,
ภุมโม,(โหร) น. ชื่อยาม ๑ ใน ๘ ยามในเวลากลางคืน. **(ดู ยาม)** .,,,,,
"ภุมระ, ภุมรา, ภุมริน, ภุมรี, ภุมเรศ","[พุมมะ-] น. ภมร, แมลงผึ้ง, แมลงภู่.",,,,,
"ภุมระ, ภุมรา, ภุมริน, ภุมรี, ภุมเรศ","[พุมมะ-] น. ภมร, แมลงผึ้ง, แมลงภู่.",,,,,
"ภุมระ, ภุมรา, ภุมริน, ภุมรี, ภุมเรศ","[พุมมะ-] น. ภมร, แมลงผึ้ง, แมลงภู่.",,,,,
"ภุมระ, ภุมรา, ภุมริน, ภุมรี, ภุมเรศ","[พุมมะ-] น. ภมร, แมลงผึ้ง, แมลงภู่.",,,,,
"ภุมระ, ภุมรา, ภุมริน, ภุมรี, ภุมเรศ","[พุมมะ-] น. ภมร, แมลงผึ้ง, แมลงภู่.",,,,,
ภุส,"(๑)  [พุด] น. ข้าวลีบ, แกลบ. (ป.; ส. พุส). (ส. ภฤศ). (๒)  [พุด] ว. กล้า, ยิ่ง, มาก. (ส. ภฤศ).",,,,,
ภู ๑,"น. ดิน, แผ่นดิน, โลก. (ป., ส.).","ภูดล, ภูธร, ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูบดินทร์, ภูบดี, ภูบาล, ภูป, ภูภุช, ภูเนตุ, ภูเบนทร์, ภูเบศ, ภูเบศวร์",,,,
ภู ๒,"น. เนินที่สูงขึ้นเป็นจอม, เขา.","ภูผา, ภูเขา, ภูเขาน้ำแข็ง, ภูเขาไฟ",,,,
ภูดล,"น. พื้นโลก, แผ่นดิน. (ส.).",,ภู ๑,,,
ภูธร,(๑) น. พระราชา (ส.). (๒) น. ภูเขา. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
"ภูธเรศ, ภูธเรศวร, ภูนาถ, ภูนายก, ภูเนตุ, ภูบดินทร์, ภูบดี, ภูบาล, ภูเบนทร์, ภูเบศ, ภูเบศวร์, ภูป, ภู",น. พระเจ้าแผ่นดิน. (ส.).,,ภู ๑,,,
ภูเขา,น. พื้นที่ที่มีระดับสูงขึ้นจากบริเวณรอบ ๆ ตั้งแต่ ๖๐๐ เมตรขึ้นไป.,,ภู ๒,,,
ภูเขาน้ำแข็ง,น. ก้อนนํ้าแข็งขนาดใหญ่ที่แตกจากธารนํ้าแข็งแถบขั้วโลกล่องลอยไปในทะเล.,,ภู ๒,,,
ภูเขาไฟ,น. ภูเขาที่เกิดขึ้นโดยการปะทุของหินหนืดร้อนแรงดันสูงใต้เปลือกโลก.,,ภู ๒,,,
ภูผา,น. เขาหิน.,,ภู ๒,,,
ภู่,น. แมลงภู่. **(ดู แมลงภู่ ๓)** .,,,แมลงภู่ ๓,,
